s_q_norm,s_q_hp,s_energy,s_age_norm,s_age_hp,s_neighbors,q_val_0,q_val_1,q_val_2,q_val_3,q_val_4,action,reward
0.4000000059604645,0.2666666805744171,0.9890918731689453,0.1599999964237213,0.800000011920929,0.5555555820465088,-0.04669458419084549,0.12453751266002655,0.05168674886226654,-0.10496548563241959,-0.04775498807430267,1.0,0.0
0.10000000149011612,0.0,0.9995748400688171,0.0,0.0,0.5454545617103577,-0.03136176988482475,0.10720106959342957,0.03274480998516083,-0.12175474315881729,-0.042269833385944366,1.0,-0.37844875268638134
0.1666666716337204,0.03333333507180214,0.9987037181854248,0.019999999552965164,0.0,0.5454545617103577,-0.03036770224571228,0.10173667222261429,0.035848069936037064,-0.1181926280260086,-0.040026456117630005,1.0,-0.5944333672523499
0.20000000298023224,0.03333333507180214,0.9979926347732544,0.03999999910593033,0.05000000074505806,0.5454545617103577,-0.030670713633298874,0.10252845287322998,0.038021210581064224,-0.1166749969124794,-0.038906630128622055,1.0,-0.8124375976622105
0.20000000298023224,0.03333333507180214,0.9973615407943726,0.03999999910593033,0.10000000149011612,0.5454545617103577,-0.03137463331222534,0.10570231825113297,0.038566239178180695,-0.11669435352087021,-0.03863309323787689,1.0,-1.1244572345167398
0.20000000298023224,0.06666667014360428,0.9966503977775574,0.05999999865889549,0.15000000596046448,0.5454545617103577,-0.032091666013002396,0.10537004470825195,0.03840082138776779,-0.11559271812438965,-0.03945833817124367,1.0,-1.3724376037716866
0.1666666716337204,0.10000000149011612,0.9960193037986755,0.07999999821186066,0.20000000298023224,0.5454545617103577,-0.03357752040028572,0.10581640899181366,0.03580356389284134,-0.1155371144413948,-0.04045352712273598,1.0,-1.6224375888705254
0.1666666716337204,0.10000000149011612,0.9953882098197937,0.07999999821186066,0.25,0.5454545617103577,-0.0348701998591423,0.10842762142419815,0.03656351938843727,-0.11478357017040253,-0.039646830409765244,1.0,-1.8704418800771236
0.13333334028720856,0.10000000149011612,0.9948371052742004,0.10000000149011612,0.30000001192092896,0.5454545617103577,-0.03662966936826706,0.11263351142406464,0.034542016685009,-0.11467187106609344,-0.04026823490858078,1.0,-2.152437563985586
0.10000000149011612,0.13333334028720856,0.9942060112953186,0.10000000149011612,0.3499999940395355,0.5454545617103577,-0.03860091790556908,0.11630165576934814,0.03234024718403816,-0.11348976194858551,-0.040055520832538605,1.0,-2.4344333969056606
0.10000000149011612,0.1666666716337204,0.9934949278831482,0.10000000149011612,0.4000000059604645,0.5454545617103577,-0.04032842442393303,0.11819513887166977,0.032449185848236084,-0.11128859221935272,-0.039833590388298035,1.0,-2.6544333025813103
0.10000000149011612,0.20000000298023224,0.9927838444709778,0.07999999821186066,0.44999998807907104,0.5454545617103577,-0.04241906851530075,0.12011536955833435,0.03296805918216705,-0.11008839309215546,-0.039366722106933594,1.0,-2.8444572053849697
0.10000000149011612,0.23333333432674408,0.9920727014541626,0.03999999910593033,0.5,0.5454545617103577,-0.04439964145421982,0.12184400856494904,0.03403463214635849,-0.10958106070756912,-0.038242895156145096,1.0,-3.1584249697625637
0.20000000298023224,0.23333333432674408,0.991201639175415,0.03999999910593033,0.550000011920929,0.5454545617103577,-0.044803157448768616,0.11982898414134979,0.041363682597875595,-0.10810166597366333,-0.039153650403022766,1.0,-3.2804419361054897
0.1666666716337204,0.23333333432674408,0.9906505346298218,0.03999999910593033,0.6000000238418579,0.5454545617103577,-0.046144187450408936,0.12445981055498123,0.038239508867263794,-0.10859941691160202,-0.03992476686835289,1.0,-3.5624374710023403
0.1666666716337204,0.23333333432674408,0.9900194406509399,0.03999999910593033,0.6499999761581421,0.5454545617103577,-0.04715799540281296,0.12743838131427765,0.03761885315179825,-0.10870979726314545,-0.0408308245241642,1.0,-3.8744571451097727
0.20000000298023224,0.23333333432674408,0.9893082976341248,0.05999999865889549,0.699999988079071,0.5454545617103577,-0.04801420494914055,0.12895306944847107,0.039038293063640594,-0.10808935761451721,-0.04198986291885376,1.0,-4.154433362185955
